Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades 
543627,HDFCLOWVOL,B,133.5,134.4,133.5,134.4,66,0.09,11
537985,INFRONICS,X,38.8,41.4,38.05,40.95,235,0.09,14
532916,BVCL,B,25.45,25.65,24.4,25.15,367,0.09,21
541890,SPACEINCUBA,X,1.38,1.47,1.38,1.44,5999,0.09,26
539223,AMBITION,X,5.35,5.35,5,5.29,1836,0.09,9
539593,SHIVA,XT,2.69,2.69,2.69,2.69,3291,0.09,9
539486,GEETANJ,XT,2.11,2.11,1.91,1.91,4623,0.09,20
539798,UMIYA,B,6.85,6.85,6.79,6.85,1363,0.09,10
540360,LLFICL,XT,6.84,6.84,6.84,6.84,1301,0.09,5
540310,CFL,XT,27.01,27.01,27.01,27.01,336,0.09,7
540396,MANOMAY,B,134.95,137.3,134.95,137.3,67,0.09,9
540008,BSLSENETFG,A,57.85,60.05,57.85,58.75,152,0.09,20
539545,APOORVA,X,19.55,19.55,19.55,19.55,417,0.08,8
542247,AXISCCGPG,B,15,15,15,15,500,0.08,1
543219,ICICIALPLV,B,172.6,173.08,171.61,171.66,46,0.08,18
538874,NEXUSSURGL,X,11,11,10.85,10.9,731,0.08,32
543472,TECH,B,31,32.35,31,31.75,266,0.08,71
543438,DSPQ50ETF,B,159.5,159.75,159,159.32,50,0.08,9
531723,STAMPEDE,T,0.79,0.79,0.79,0.79,10000,0.08,1
531497,MADHUCON,B,4.97,4.97,4.82,4.92,1649,0.08,17
530443,KIRANSY-B,XT,6.05,6.05,5.92,5.93,1289,0.08,12
530577,LADDERUP,X,22,22.2,20.9,21.15,373,0.08,15
524502,RAAJMEDI,P,26.15,26.15,26.15,26.15,300,0.08,2
524606,BERLDRG,XT,13.4,13.4,12.75,12.75,600,0.08,6
500439,VHL,B,2779,2788.25,2723.95,2723.95,3,0.08,3
505141,SCOOTER,T,27.4,28.45,27.4,27.6,303,0.08,20
503229,SIMPLXREA,X,78,78,78,78,100,0.08,1
507946,KIDUJA,X,62.9,66.6,61,61.8,128,0.08,54
512197,SILVERO,Z,3.05,3.05,2.83,3,2945,0.08,31
521131,SBFL,X,14.25,14.75,14.25,14.5,522,0.08,15
520121,ARCEEIN,XT,7.25,7.25,6.9,7.02,1163,0.08,8
515059,MADHUDIN,X,20.5,22,20.5,22,378,0.08,5
516020,AGIOPAPER,XT,4.12,4.12,4.1,4.12,1865,0.08,17
517273,S&SPOWER,T,31.95,31.95,31.95,31.95,239,0.08,17
521210,CITYMAN,XT,11.11,11.11,11.11,11.11,588,0.07,4
511523,VEERHEALTH,X,24.65,24.65,23,23,297,0.07,9
511131,KAMANWALA,X,9.8,9.8,9.01,9.38,731,0.07,15
505250,GGDANDE,X,61.2,62.9,61,62.75,108,0.07,7
505343,MONOT,Z,0.26,0.26,0.26,0.26,25512,0.07,6
